instance_id,model,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,travel_time_per_edge,average_travel_time_per_edge,total_one_way_travel_time,battery_capacity_multiplier,optimistic_minimum_energy,battery_capacity,battery_headroom,terrain_profiles,terrain_edges,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,travel_time_in_plan,estimated_travel_time,stationary_time,energy_used,battery_remaining,battery_utilization_ratio,battery_feasible,route_metrics_valid,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-battery-n2-mem-low-corr-low-seed-10,battery,10,2,low,0.45,6.0,8.0,1.333333,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",low,2,0,True,"[6, 2]","[5, 5]","[14.0, 14.0]","[19.0, 19.0]",solved,True,sat-hadd,30.0,0.41442,0,42,24.0,24.0,14.0,14.0,10.0,22.0,18.0,0.55,True,True,10,6,2,2,8,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-10.txt,
rover-battery-n2-mem-low-corr-low-seed-11,battery,11,2,low,0.45,6.0,11.0,1.833333,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[5, 6]","[5, 5]","[14.0, 12.0]","[19.0, 17.0]",solved,True,sat-hadd,30.0,0.456139,0,44,26.0,26.0,15.0,15.0,11.0,24.0,16.0,0.6,True,True,10,6,2,2,8,26.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-11.txt,
rover-battery-n2-mem-low-corr-low-seed-12,battery,12,2,low,0.45,5.0,9.0,1.8,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",low,2,0,True,"[5, 4]","[4, 3]","[14.0, 10.0]","[18.0, 14.0]",solved,True,sat-hadd,30.0,0.372204,0,37,19.0,19.0,12.0,12.0,7.0,18.0,22.0,0.45,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-12.txt,
rover-battery-n2-mem-low-corr-low-seed-13,battery,13,2,low,0.45,4.0,8.0,2.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[4, 4]","[3, 3]","[12.0, 14.0]","[15.0, 18.5]",solved,True,sat-hadd,30.0,0.445229,0,47,29.0,29.0,15.0,15.0,14.0,24.0,16.0,0.6,True,True,10,6,2,2,6,29.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-13.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-13.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-13.txt,
rover-battery-n2-mem-low-corr-low-seed-14,battery,14,2,low,0.45,6.0,8.0,1.333333,,1.75,3.5,4.0,10.0,40,30.0,"[""moderate"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[2, 6]","[3, 4]","[14.0, 12.0]","[17.0, 16.0]",solved,True,sat-hadd,30.0,0.430594,0,37,19.0,19.0,11.0,11.0,8.0,16.0,24.0,0.4,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-14.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-14.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-low-seed-14.txt,
rover-battery-n2-mem-low-corr-medium-seed-10,battery,10,2,low,0.45,6.0,8.0,1.333333,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",medium,2,0,True,"[6, 2]","[5, 5]","[10.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.404666,0,42,24.0,24.0,14.0,14.0,10.0,22.0,18.0,0.55,True,True,10,6,2,2,8,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-10.txt,
rover-battery-n2-mem-low-corr-medium-seed-11,battery,11,2,low,0.45,6.0,11.0,1.833333,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[5, 6]","[5, 5]","[10.0, 8.0]","[15.0, 13.0]",solved,True,sat-hadd,30.0,0.447416,0,39,21.0,21.0,15.0,15.0,6.0,24.0,16.0,0.6,True,True,10,6,2,2,6,21.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-11.txt,
rover-battery-n2-mem-low-corr-medium-seed-12,battery,12,2,low,0.45,5.0,9.0,1.8,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",medium,2,0,True,"[5, 4]","[4, 3]","[10.0, 6.0]","[14.0, 10.0]",solved,True,sat-hadd,30.0,0.376862,0,37,19.0,19.0,12.0,12.0,7.0,18.0,22.0,0.45,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-12.txt,
rover-battery-n2-mem-low-corr-medium-seed-13,battery,13,2,low,0.45,4.0,8.0,2.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[4, 4]","[3, 3]","[8.0, 10.0]","[11.0, 14.5]",solved,True,sat-hadd,30.0,0.42018,0,43,25.0,25.0,15.0,15.0,10.0,24.0,16.0,0.6,True,True,10,6,2,2,6,25.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-13.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-13.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-13.txt,
rover-battery-n2-mem-low-corr-medium-seed-14,battery,14,2,low,0.45,6.0,8.0,1.333333,,1.75,3.5,4.0,10.0,40,30.0,"[""moderate"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[2, 6]","[3, 4]","[10.0, 8.0]","[13.0, 12.0]",solved,True,sat-hadd,30.0,0.432831,0,37,19.0,19.0,11.0,11.0,8.0,16.0,24.0,0.4,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-14.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-14.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-medium-seed-14.txt,
rover-battery-n2-mem-low-corr-high-seed-10,battery,10,2,low,0.45,6.0,8.0,1.333333,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",high,2,0,True,"[6, 2]","[5, 5]","[5.0, 5.0]","[10.0, 10.0]",solved,True,sat-hadd,30.0,0.397313,0,41,23.0,23.0,14.0,14.0,9.0,22.0,18.0,0.55,True,True,10,6,2,2,8,23.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-10.txt,
rover-battery-n2-mem-low-corr-high-seed-11,battery,11,2,low,0.45,6.0,11.0,1.833333,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",high,2,0,True,"[5, 6]","[5, 5]","[5.0, 4.0]","[10.0, 9.0]",solved,True,sat-hadd,30.0,0.378189,0,39,21.0,21.0,15.0,15.0,6.0,24.0,16.0,0.6,True,True,10,6,2,2,6,21.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-11.txt,
rover-battery-n2-mem-low-corr-high-seed-12,battery,12,2,low,0.45,5.0,9.0,1.8,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",high,2,0,True,"[5, 4]","[4, 3]","[5.0, 3.0]","[9.0, 7.0]",solved,True,sat-hadd,30.0,0.370583,0,36,18.0,18.0,12.0,12.0,6.0,18.0,22.0,0.45,True,True,10,6,2,2,8,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-12.txt,
rover-battery-n2-mem-low-corr-high-seed-13,battery,13,2,low,0.45,4.0,8.0,2.0,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",high,2,0,True,"[4, 4]","[3, 3]","[4.0, 5.0]","[7.0, 9.5]",solved,True,sat-hadd,30.0,0.416285,0,38,20.0,20.0,15.0,15.0,5.0,24.0,16.0,0.6,True,True,10,6,2,2,6,20.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-13.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-13.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-13.txt,
rover-battery-n2-mem-low-corr-high-seed-14,battery,14,2,low,0.45,6.0,8.0,1.333333,,1.75,3.5,4.0,10.0,40,30.0,"[""moderate"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",high,2,0,True,"[2, 6]","[3, 4]","[5.0, 4.0]","[8.0, 8.0]",solved,True,sat-hadd,30.0,0.374256,0,33,15.0,15.0,11.0,11.0,4.0,16.0,24.0,0.4,True,True,10,6,2,2,6,15.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-14.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-14.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-low-corr-high-seed-14.txt,
rover-battery-n2-mem-medium-corr-low-seed-10,battery,10,2,medium,0.7,6.0,8.0,1.333333,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",low,2,0,True,"[6, 2]","[5, 5]","[14.0, 14.0]","[19.0, 19.0]",solved,True,sat-hadd,30.0,0.413651,0,42,24.0,24.0,14.0,14.0,10.0,22.0,18.0,0.55,True,True,10,6,2,2,8,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-10.txt,
rover-battery-n2-mem-medium-corr-low-seed-11,battery,11,2,medium,0.7,8.0,11.0,1.375,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[5, 6]","[5, 5]","[14.0, 12.0]","[19.0, 17.0]",solved,True,sat-hadd,30.0,0.48176,0,44,26.0,26.0,15.0,15.0,11.0,24.0,16.0,0.6,True,True,10,6,2,2,8,26.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-11.txt,
rover-battery-n2-mem-medium-corr-low-seed-12,battery,12,2,medium,0.7,7.0,9.0,1.285714,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",low,2,0,True,"[5, 4]","[4, 3]","[14.0, 10.0]","[18.0, 14.0]",solved,True,sat-hadd,30.0,0.371627,0,37,19.0,19.0,12.0,12.0,7.0,18.0,22.0,0.45,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-12.txt,
rover-battery-n2-mem-medium-corr-low-seed-13,battery,13,2,medium,0.7,6.0,8.0,1.333333,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[4, 4]","[3, 3]","[12.0, 14.0]","[15.0, 18.5]",solved,True,sat-hadd,30.0,0.448453,0,47,29.0,29.0,15.0,15.0,14.0,24.0,16.0,0.6,True,True,10,6,2,2,6,29.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-13.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-13.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-13.txt,
rover-battery-n2-mem-medium-corr-low-seed-14,battery,14,2,medium,0.7,6.0,8.0,1.333333,,1.75,3.5,4.0,10.0,40,30.0,"[""moderate"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[2, 6]","[3, 4]","[14.0, 12.0]","[17.0, 16.0]",solved,True,sat-hadd,30.0,0.448802,0,37,19.0,19.0,11.0,11.0,8.0,16.0,24.0,0.4,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-14.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-14.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-low-seed-14.txt,
rover-battery-n2-mem-medium-corr-medium-seed-10,battery,10,2,medium,0.7,6.0,8.0,1.333333,,2.5,5.0,2.5,16.0,40,24.0,"[""moderate"", ""steep""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}]",medium,2,0,True,"[6, 2]","[5, 5]","[10.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.429483,0,42,24.0,24.0,14.0,14.0,10.0,22.0,18.0,0.55,True,True,10,6,2,2,8,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-10.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-10.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-10.txt,
rover-battery-n2-mem-medium-corr-medium-seed-11,battery,11,2,medium,0.7,8.0,11.0,1.375,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[5, 6]","[5, 5]","[10.0, 8.0]","[15.0, 13.0]",solved,True,sat-hadd,30.0,0.460787,0,39,21.0,21.0,15.0,15.0,6.0,24.0,16.0,0.6,True,True,10,6,2,2,6,21.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-11.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-11.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-11.txt,
rover-battery-n2-mem-medium-corr-medium-seed-12,battery,12,2,medium,0.7,7.0,9.0,1.285714,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""moderate"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",medium,2,0,True,"[5, 4]","[4, 3]","[10.0, 6.0]","[14.0, 10.0]",solved,True,sat-hadd,30.0,0.398414,0,37,19.0,19.0,12.0,12.0,7.0,18.0,22.0,0.45,True,True,10,6,2,2,8,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-12.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-12.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_final_unseen/rover-battery-n2-mem-medium-corr-medium-seed-12.txt,
